family_id,fee_stress_pnl_delta,slippage_stress_pnl_delta,parameter_stability,outlier_dependence,baseline_oos_trade_count
FAM_0062,-238.44543354123445,-260.55288347984185,161.5253661287665,0.1826326344280787,12
FAM_0063,-60.330434802527776,-18.834532426563754,11.671680108902414,0.8165028681079451,3
FAM_0064,0,0,0.0,0.0,0
FAM_0065,-80.76226307137995,-25.212777376156524,-3.7888027518106746,0.8551116547215963,4
FAM_0066,-759.010411875894,-298.2513350920707,874.3696111775234,0.0688390869128295,38
FAM_0067,-80.75809807377706,-25.21017360196643,-32.24226858553935,0.711472655044584,4
FAM_0068,-121.79938818694933,117.695893403573,-344.73641140334377,0.1936455521537433,6
FAM_0069,-258.0194077783585,-80.53247588966079,-52.32958250077024,0.16885749343107637,13
FAM_0070,-140.0325115063613,-43.828905671342,-87.74320303680943,0.29436171173008874,7
FAM_0071,0,0,0.0,0.0,0
FAM_0072,-739.6912763961495,-514.2163700068445,164.77433055611482,0.08246628952865195,37
FAM_0073,-658.9904709827698,-206.21838926550336,311.0064648136209,0.09007921235197845,33
FAM_0074,-658.9391994936108,-372.59453264314186,296.48015344146086,0.10504262410769123,33
FAM_0075,-40.53173912326824,-12.638427655381975,60.59013419248875,0.5316566003662522,2
FAM_0076,-160.24573810525675,-56.462169163753316,-99.65962192322525,0.19787017527859868,8
FAM_0077,0,0,0.0,0.0,0
FAM_0078,-538.7169625143196,-465.53000223368656,520.1424823940206,0.060953924675876174,27
FAM_0079,-778.8286368802092,-268.6268278903136,327.96588147689454,0.08382288540954769,39
FAM_0080,-80.74616003020878,-25.202710459701258,-1.916053238721645,0.5413110844784366,4
FAM_0081,-162.06344417193654,28.136523539065365,-3.6331901758671563,0.19015907642359794,8
FAM_0082,-160.23856960529062,-50.15173598438969,-111.95809000798701,0.1845162781710638,8
FAM_0083,-538.5761049237243,-227.20539948302857,371.6555760950931,0.08227322095361929,27
FAM_0084,-539.3585176367285,-206.04286237103997,1395.3817231805588,0.047894370982759255,27
FAM_0085,-80.71395394786649,-25.182576626798067,-4.862303541826265,0.30788202681795895,4
FAM_0086,-917.9862113711755,-519.2050052908206,-205.05891629766273,0.2519941698184757,46
FAM_0087,-202.60665686745494,55.546825587072206,-0.10221710299224185,0.1647043057866505,10
FAM_0088,-40.1954244713186,-12.527580606008854,209.16274582885342,0.5543890824080298,2
FAM_0089,-678.7891838087155,-213.19928229442564,30.24550221672706,0.1289263966261312,34
FAM_0090,-639.4813527414149,-329.2120886850553,354.6449908186386,0.05941713352998457,32
FAM_0091,-699.6852363170958,-308.8365076483376,250.65058393784193,0.09024808937735079,35
FAM_0092,-80.74451004072213,-25.20167895848475,3.1632372036580136,0.5243765401786836,4
FAM_0093,-141.7933336529987,-148.09658947896168,-164.7444700084627,0.17442090311198225,7
FAM_0094,-60.330434802527776,-18.834532426563754,11.671680108902414,0.8165028681079451,3
FAM_0095,0,0,0.0,0.0,0
FAM_0096,-439.34350093989394,-142.25051844437382,553.0230796541546,0.1102918728561984,22
FAM_0097,-678.8025228600391,-317.6554237564322,-304.8915595549223,0.22053296698747618,34
FAM_0098,-539.3585176367285,-206.04286237103997,1395.3817231805588,0.047894370982759255,27
FAM_0099,-40.53173912326824,-12.638427655381975,60.59013419248875,0.5316566003662522,2
