family_id,family_name,hypothesis_class,rule_summary,parameter_json
FAM_0010,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0010,breakdown_scalp,"breakdown_scalp using range_breakout, confirmed by vwap_distance, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'vwap_distance', 'position_mode': 'short_only', 'lookback': 30, 'stop_atr': 0.7, 'tp_r': 1.5, 'trail_atr': 1.0, 'time_stop_bars': 40, 'rsi_len': 7, 'rsi_band': 30, 'ema_fast': 21, 'ema_slow': 34, 'throttle_bars': 13, 'risk_per_trade': 0.003, 'volatility_window': 20}"
FAM_0011,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0011,breakdown_scalp,"breakdown_scalp using range_breakout, confirmed by range_percentile, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'range_percentile', 'position_mode': 'long_short', 'lookback': 12, 'stop_atr': 1.4, 'tp_r': 1.5, 'trail_atr': 0.7, 'time_stop_bars': 40, 'rsi_len': 7, 'rsi_band': 70, 'ema_fast': 21, 'ema_slow': 34, 'throttle_bars': 8, 'risk_per_trade': 0.001, 'volatility_window': 50}"
FAM_0012,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0012,breakdown_scalp,"breakdown_scalp using range_breakout, confirmed by session_filter, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'session_filter', 'position_mode': 'long_short', 'lookback': 20, 'stop_atr': 1.1, 'tp_r': 2.0, 'trail_atr': 1.6, 'time_stop_bars': 15, 'rsi_len': 9, 'rsi_band': 25, 'ema_fast': 8, 'ema_slow': 34, 'throttle_bars': 13, 'risk_per_trade': 0.002, 'volatility_window': 50}"
FAM_0013,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0013,breakdown_scalp,"breakdown_scalp using range_breakout, confirmed by rsi_filter, gated by downtrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'downtrend_only', 'confirmation': 'rsi_filter', 'position_mode': 'long_short', 'lookback': 16, 'stop_atr': 0.7, 'tp_r': 0.8, 'trail_atr': 1.3, 'time_stop_bars': 25, 'rsi_len': 9, 'rsi_band': 30, 'ema_fast': 8, 'ema_slow': 89, 'throttle_bars': 5, 'risk_per_trade': 0.003, 'volatility_window': 20}"
FAM_0014,pullback_continuation_range_breakout_fixed_stop_fixed_tp_0014,pullback_continuation,"pullback_continuation using range_breakout, confirmed by rsi_filter, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'rsi_filter', 'position_mode': 'long_only', 'lookback': 20, 'stop_atr': 1.4, 'tp_r': 2.0, 'trail_atr': 1.6, 'time_stop_bars': 60, 'rsi_len': 7, 'rsi_band': 65, 'ema_fast': 21, 'ema_slow': 89, 'throttle_bars': 2, 'risk_per_trade': 0.003, 'volatility_window': 50}"
FAM_0015,pullback_continuation_range_breakout_fixed_stop_fixed_tp_0015,pullback_continuation,"pullback_continuation using range_breakout, confirmed by ema_alignment, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'ema_alignment', 'position_mode': 'long_short', 'lookback': 12, 'stop_atr': 0.7, 'tp_r': 2.0, 'trail_atr': 1.0, 'time_stop_bars': 25, 'rsi_len': 7, 'rsi_band': 35, 'ema_fast': 8, 'ema_slow': 55, 'throttle_bars': 13, 'risk_per_trade': 0.002, 'volatility_window': 50}"
FAM_0016,pullback_continuation_range_breakout_fixed_stop_fixed_tp_0016,pullback_continuation,"pullback_continuation using range_breakout, confirmed by atr_filter, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'atr_filter', 'position_mode': 'long_short', 'lookback': 8, 'stop_atr': 1.4, 'tp_r': 0.8, 'trail_atr': 1.6, 'time_stop_bars': 15, 'rsi_len': 7, 'rsi_band': 35, 'ema_fast': 21, 'ema_slow': 34, 'throttle_bars': 5, 'risk_per_trade': 0.002, 'volatility_window': 50}"
FAM_0017,pullback_continuation_range_breakout_fixed_stop_fixed_tp_0017,pullback_continuation,"pullback_continuation using range_breakout, confirmed by vwap_distance, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'vwap_distance', 'position_mode': 'short_only', 'lookback': 20, 'stop_atr': 0.7, 'tp_r': 2.0, 'trail_atr': 1.6, 'time_stop_bars': 25, 'rsi_len': 7, 'rsi_band': 25, 'ema_fast': 8, 'ema_slow': 34, 'throttle_bars': 8, 'risk_per_trade': 0.002, 'volatility_window': 20}"
FAM_0018,pullback_continuation_range_breakout_fixed_stop_fixed_tp_0018,pullback_continuation,"pullback_continuation using range_breakout, confirmed by range_percentile, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'range_percentile', 'position_mode': 'long_short', 'lookback': 30, 'stop_atr': 1.1, 'tp_r': 0.8, 'trail_atr': 0.7, 'time_stop_bars': 15, 'rsi_len': 7, 'rsi_band': 75, 'ema_fast': 12, 'ema_slow': 55, 'throttle_bars': 13, 'risk_per_trade': 0.002, 'volatility_window': 30}"
FAM_0019,pullback_continuation_range_breakout_fixed_stop_fixed_tp_0019,pullback_continuation,"pullback_continuation using range_breakout, confirmed by session_filter, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'session_filter', 'position_mode': 'long_only', 'lookback': 8, 'stop_atr': 1.1, 'tp_r': 0.8, 'trail_atr': 1.3, 'time_stop_bars': 40, 'rsi_len': 9, 'rsi_band': 75, 'ema_fast': 12, 'ema_slow': 34, 'throttle_bars': 13, 'risk_per_trade': 0.003, 'volatility_window': 20}"
FAM_0020,pullback_continuation_range_breakout_fixed_stop_fixed_tp_0020,pullback_continuation,"pullback_continuation using range_breakout, confirmed by rsi_filter, gated by downtrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'downtrend_only', 'confirmation': 'rsi_filter', 'position_mode': 'short_only', 'lookback': 8, 'stop_atr': 1.1, 'tp_r': 1.5, 'trail_atr': 1.3, 'time_stop_bars': 25, 'rsi_len': 7, 'rsi_band': 65, 'ema_fast': 8, 'ema_slow': 34, 'throttle_bars': 13, 'risk_per_trade': 0.001, 'volatility_window': 50}"
FAM_0021,failed_breakout_fade_range_breakout_fixed_stop_fixed_tp_0021,failed_breakout_fade,"failed_breakout_fade using range_breakout, confirmed by rsi_filter, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'rsi_filter', 'position_mode': 'long_short', 'lookback': 30, 'stop_atr': 0.9, 'tp_r': 0.8, 'trail_atr': 1.0, 'time_stop_bars': 60, 'rsi_len': 14, 'rsi_band': 25, 'ema_fast': 12, 'ema_slow': 55, 'throttle_bars': 2, 'risk_per_trade': 0.002, 'volatility_window': 20}"
FAM_0022,failed_breakout_fade_range_breakout_fixed_stop_fixed_tp_0022,failed_breakout_fade,"failed_breakout_fade using range_breakout, confirmed by ema_alignment, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'ema_alignment', 'position_mode': 'long_only', 'lookback': 20, 'stop_atr': 1.4, 'tp_r': 1.2, 'trail_atr': 0.7, 'time_stop_bars': 15, 'rsi_len': 14, 'rsi_band': 70, 'ema_fast': 21, 'ema_slow': 89, 'throttle_bars': 5, 'risk_per_trade': 0.001, 'volatility_window': 20}"
FAM_0023,failed_breakout_fade_range_breakout_fixed_stop_fixed_tp_0023,failed_breakout_fade,"failed_breakout_fade using range_breakout, confirmed by atr_filter, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'atr_filter', 'position_mode': 'short_only', 'lookback': 12, 'stop_atr': 1.4, 'tp_r': 1.2, 'trail_atr': 0.7, 'time_stop_bars': 40, 'rsi_len': 14, 'rsi_band': 30, 'ema_fast': 12, 'ema_slow': 89, 'throttle_bars': 13, 'risk_per_trade': 0.001, 'volatility_window': 20}"
FAM_0024,failed_breakout_fade_range_breakout_fixed_stop_fixed_tp_0024,failed_breakout_fade,"failed_breakout_fade using range_breakout, confirmed by vwap_distance, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'vwap_distance', 'position_mode': 'short_only', 'lookback': 8, 'stop_atr': 1.4, 'tp_r': 1.2, 'trail_atr': 1.0, 'time_stop_bars': 25, 'rsi_len': 9, 'rsi_band': 70, 'ema_fast': 12, 'ema_slow': 55, 'throttle_bars': 8, 'risk_per_trade': 0.002, 'volatility_window': 30}"
FAM_0025,failed_breakout_fade_range_breakout_fixed_stop_fixed_tp_0025,failed_breakout_fade,"failed_breakout_fade using range_breakout, confirmed by range_percentile, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'range_percentile', 'position_mode': 'long_short', 'lookback': 20, 'stop_atr': 1.8, 'tp_r': 1.2, 'trail_atr': 1.0, 'time_stop_bars': 25, 'rsi_len': 14, 'rsi_band': 35, 'ema_fast': 8, 'ema_slow': 89, 'throttle_bars': 8, 'risk_per_trade': 0.003, 'volatility_window': 20}"
FAM_0026,failed_breakout_fade_range_breakout_fixed_stop_fixed_tp_0026,failed_breakout_fade,"failed_breakout_fade using range_breakout, confirmed by session_filter, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'session_filter', 'position_mode': 'short_only', 'lookback': 16, 'stop_atr': 1.4, 'tp_r': 1.2, 'trail_atr': 1.6, 'time_stop_bars': 40, 'rsi_len': 14, 'rsi_band': 25, 'ema_fast': 8, 'ema_slow': 89, 'throttle_bars': 3, 'risk_per_trade': 0.002, 'volatility_window': 30}"
FAM_0027,failed_breakout_fade_range_breakout_fixed_stop_fixed_tp_0027,failed_breakout_fade,"failed_breakout_fade using range_breakout, confirmed by rsi_filter, gated by downtrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'downtrend_only', 'confirmation': 'rsi_filter', 'position_mode': 'short_only', 'lookback': 20, 'stop_atr': 0.7, 'tp_r': 1.2, 'trail_atr': 0.7, 'time_stop_bars': 15, 'rsi_len': 14, 'rsi_band': 25, 'ema_fast': 12, 'ema_slow': 55, 'throttle_bars': 3, 'risk_per_trade': 0.003, 'volatility_window': 30}"
FAM_0028,failed_breakdown_fade_range_breakout_fixed_stop_fixed_tp_0028,failed_breakdown_fade,"failed_breakdown_fade using range_breakout, confirmed by rsi_filter, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'rsi_filter', 'position_mode': 'short_only', 'lookback': 16, 'stop_atr': 0.7, 'tp_r': 1.0, 'trail_atr': 1.6, 'time_stop_bars': 40, 'rsi_len': 7, 'rsi_band': 25, 'ema_fast': 12, 'ema_slow': 55, 'throttle_bars': 13, 'risk_per_trade': 0.001, 'volatility_window': 30}"
FAM_0029,failed_breakdown_fade_range_breakout_fixed_stop_fixed_tp_0029,failed_breakdown_fade,"failed_breakdown_fade using range_breakout, confirmed by ema_alignment, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'ema_alignment', 'position_mode': 'short_only', 'lookback': 30, 'stop_atr': 1.1, 'tp_r': 0.8, 'trail_atr': 1.0, 'time_stop_bars': 60, 'rsi_len': 7, 'rsi_band': 70, 'ema_fast': 8, 'ema_slow': 34, 'throttle_bars': 13, 'risk_per_trade': 0.002, 'volatility_window': 50}"
FAM_0030,failed_breakdown_fade_range_breakout_fixed_stop_fixed_tp_0030,failed_breakdown_fade,"failed_breakdown_fade using range_breakout, confirmed by atr_filter, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'atr_filter', 'position_mode': 'long_only', 'lookback': 30, 'stop_atr': 1.1, 'tp_r': 1.5, 'trail_atr': 0.7, 'time_stop_bars': 25, 'rsi_len': 9, 'rsi_band': 35, 'ema_fast': 21, 'ema_slow': 55, 'throttle_bars': 3, 'risk_per_trade': 0.003, 'volatility_window': 30}"
FAM_0031,failed_breakdown_fade_range_breakout_fixed_stop_fixed_tp_0031,failed_breakdown_fade,"failed_breakdown_fade using range_breakout, confirmed by vwap_distance, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'vwap_distance', 'position_mode': 'long_only', 'lookback': 12, 'stop_atr': 0.9, 'tp_r': 1.2, 'trail_atr': 1.6, 'time_stop_bars': 40, 'rsi_len': 9, 'rsi_band': 35, 'ema_fast': 21, 'ema_slow': 89, 'throttle_bars': 8, 'risk_per_trade': 0.003, 'volatility_window': 50}"
FAM_0032,failed_breakdown_fade_range_breakout_fixed_stop_fixed_tp_0032,failed_breakdown_fade,"failed_breakdown_fade using range_breakout, confirmed by range_percentile, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'range_percentile', 'position_mode': 'short_only', 'lookback': 30, 'stop_atr': 1.8, 'tp_r': 1.2, 'trail_atr': 1.0, 'time_stop_bars': 60, 'rsi_len': 14, 'rsi_band': 75, 'ema_fast': 12, 'ema_slow': 34, 'throttle_bars': 8, 'risk_per_trade': 0.001, 'volatility_window': 20}"
FAM_0033,failed_breakdown_fade_range_breakout_fixed_stop_fixed_tp_0033,failed_breakdown_fade,"failed_breakdown_fade using range_breakout, confirmed by session_filter, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'session_filter', 'position_mode': 'short_only', 'lookback': 30, 'stop_atr': 1.4, 'tp_r': 0.8, 'trail_atr': 1.0, 'time_stop_bars': 15, 'rsi_len': 9, 'rsi_band': 65, 'ema_fast': 12, 'ema_slow': 89, 'throttle_bars': 5, 'risk_per_trade': 0.003, 'volatility_window': 30}"
FAM_0034,failed_breakdown_fade_range_breakout_fixed_stop_fixed_tp_0034,failed_breakdown_fade,"failed_breakdown_fade using range_breakout, confirmed by rsi_filter, gated by downtrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'downtrend_only', 'confirmation': 'rsi_filter', 'position_mode': 'short_only', 'lookback': 16, 'stop_atr': 0.9, 'tp_r': 0.8, 'trail_atr': 1.3, 'time_stop_bars': 60, 'rsi_len': 14, 'rsi_band': 30, 'ema_fast': 12, 'ema_slow': 34, 'throttle_bars': 13, 'risk_per_trade': 0.002, 'volatility_window': 30}"
FAM_0035,vwap_reversion_range_breakout_fixed_stop_fixed_tp_0035,vwap_reversion,"vwap_reversion using range_breakout, confirmed by rsi_filter, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'rsi_filter', 'position_mode': 'short_only', 'lookback': 8, 'stop_atr': 0.9, 'tp_r': 2.0, 'trail_atr': 1.0, 'time_stop_bars': 60, 'rsi_len': 14, 'rsi_band': 70, 'ema_fast': 8, 'ema_slow': 55, 'throttle_bars': 5, 'risk_per_trade': 0.002, 'volatility_window': 50}"
FAM_0036,vwap_reversion_range_breakout_fixed_stop_fixed_tp_0036,vwap_reversion,"vwap_reversion using range_breakout, confirmed by ema_alignment, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'ema_alignment', 'position_mode': 'short_only', 'lookback': 12, 'stop_atr': 1.1, 'tp_r': 1.0, 'trail_atr': 0.7, 'time_stop_bars': 40, 'rsi_len': 7, 'rsi_band': 70, 'ema_fast': 21, 'ema_slow': 34, 'throttle_bars': 2, 'risk_per_trade': 0.003, 'volatility_window': 30}"
FAM_0037,vwap_reversion_range_breakout_fixed_stop_fixed_tp_0037,vwap_reversion,"vwap_reversion using range_breakout, confirmed by atr_filter, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'atr_filter', 'position_mode': 'long_short', 'lookback': 12, 'stop_atr': 1.1, 'tp_r': 1.0, 'trail_atr': 1.0, 'time_stop_bars': 60, 'rsi_len': 9, 'rsi_band': 75, 'ema_fast': 21, 'ema_slow': 34, 'throttle_bars': 13, 'risk_per_trade': 0.003, 'volatility_window': 50}"
FAM_0038,vwap_reversion_range_breakout_fixed_stop_fixed_tp_0038,vwap_reversion,"vwap_reversion using range_breakout, confirmed by vwap_distance, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'vwap_distance', 'position_mode': 'short_only', 'lookback': 20, 'stop_atr': 1.1, 'tp_r': 1.0, 'trail_atr': 1.3, 'time_stop_bars': 15, 'rsi_len': 14, 'rsi_band': 75, 'ema_fast': 21, 'ema_slow': 34, 'throttle_bars': 5, 'risk_per_trade': 0.001, 'volatility_window': 20}"
FAM_0039,vwap_reversion_range_breakout_fixed_stop_fixed_tp_0039,vwap_reversion,"vwap_reversion using range_breakout, confirmed by range_percentile, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'range_percentile', 'position_mode': 'long_short', 'lookback': 30, 'stop_atr': 0.7, 'tp_r': 1.2, 'trail_atr': 1.0, 'time_stop_bars': 40, 'rsi_len': 7, 'rsi_band': 75, 'ema_fast': 21, 'ema_slow': 34, 'throttle_bars': 5, 'risk_per_trade': 0.001, 'volatility_window': 20}"
FAM_0040,vwap_reversion_range_breakout_fixed_stop_fixed_tp_0040,vwap_reversion,"vwap_reversion using range_breakout, confirmed by session_filter, gated by uptrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'uptrend_only', 'confirmation': 'session_filter', 'position_mode': 'long_short', 'lookback': 12, 'stop_atr': 1.8, 'tp_r': 2.0, 'trail_atr': 1.0, 'time_stop_bars': 60, 'rsi_len': 14, 'rsi_band': 35, 'ema_fast': 8, 'ema_slow': 89, 'throttle_bars': 5, 'risk_per_trade': 0.003, 'volatility_window': 20}"
FAM_0041,vwap_reversion_range_breakout_fixed_stop_fixed_tp_0041,vwap_reversion,"vwap_reversion using range_breakout, confirmed by rsi_filter, gated by downtrend_only, exited via fixed_stop_fixed_tp.","{'entry_block': 'range_breakout', 'exit_block': 'fixed_stop_fixed_tp', 'regime_block': 'downtrend_only', 'confirmation': 'rsi_filter', 'position_mode': 'long_short', 'lookback': 12, 'stop_atr': 0.9, 'tp_r': 1.5, 'trail_atr': 1.3, 'time_stop_bars': 25, 'rsi_len': 14, 'rsi_band': 30, 'ema_fast': 8, 'ema_slow': 89, 'throttle_bars': 13, 'risk_per_trade': 0.003, 'volatility_window': 30}"
